architecture,split,bit,scope_type,scope_value,ambiguous_excluded_from_split,records,positives,negatives,auroc,auprc,accuracy,balanced_accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,true_positive,true_negative,false_positive,false_negative
online,validation,write_off,dataset,textvqa,26,76,24,52,0.4166666666666667,0.30182100736256295,0.6842105263157895,0.5112179487179487,0.5,0.041666666666666664,0.07692307692307693,0.019230769230769232,0.9583333333333334,1,51,1,23
online,validation,write_off,depth,early,26,88,33,55,0.4991735537190083,0.44344073844373966,0.6477272727272727,0.5303030303030303,1.0,0.06060606060606061,0.1142857142857143,0.0,0.9393939393939394,2,55,0,31
online,validation,write_off,depth,middle,26,76,23,53,0.4036095159967186,0.35239505909296726,0.7105263157894737,0.5340442986054142,0.6666666666666666,0.08695652173913043,0.15384615384615383,0.018867924528301886,0.9130434782608695,2,52,1,21
online,validation,write_off,depth,late,26,66,14,52,0.3901098901098901,0.1975617446744679,0.7727272727272727,0.49038461538461536,0.0,0.0,0.0,0.019230769230769232,1.0,0,51,1,14
online,validation,write_off,layer,0,26,10,5,5,0.64,0.7392857142857143,0.6,0.6,1.0,0.2,0.33333333333333337,0.0,0.8,1,5,0,4
online,validation,write_off,layer,1,26,17,7,10,0.34285714285714286,0.38409863945578226,0.5882352941176471,0.5,0.0,0.0,0.0,0.0,1.0,0,10,0,7
online,validation,write_off,layer,2,26,4,1,3,1.0,1.0,0.75,0.5,0.0,0.0,0.0,0.0,1.0,0,3,0,1
online,validation,write_off,layer,3,26,6,2,4,0.25,0.3333333333333333,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,1.0,0,4,0,2
online,validation,write_off,layer,4,26,8,3,5,0.5333333333333333,0.6095238095238096,0.75,0.6666666666666666,1.0,0.3333333333333333,0.5,0.0,0.6666666666666666,1,5,0,2
online,validation,write_off,layer,5,26,6,2,4,0.625,0.7,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,1.0,0,4,0,2
online,validation,write_off,layer,6,26,5,2,3,0.5,0.7,0.6,0.5,0.0,0.0,0.0,0.0,1.0,0,3,0,2
online,validation,write_off,layer,7,26,11,3,8,0.3333333333333333,0.2611111111111111,0.7272727272727273,0.5,0.0,0.0,0.0,0.0,1.0,0,8,0,3
online,validation,write_off,layer,8,26,9,4,5,0.5,0.6349206349206349,0.5555555555555556,0.5,0.0,0.0,0.0,0.0,1.0,0,5,0,4
online,validation,write_off,layer,9,26,12,4,8,0.8125,0.6083333333333333,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,1.0,0,8,0,4
online,validation,write_off,layer,10,26,1,0,1,nan,nan,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0,1,0,0
online,validation,write_off,layer,11,26,4,1,3,0.6666666666666666,0.5,0.75,0.5,0.0,0.0,0.0,0.0,1.0,0,3,0,1
