architecture,split,scope_type,scope_value,records,positives,negatives,auroc,auprc,accuracy,balanced_accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,true_positive,true_negative,false_positive,false_negative
polar,train,layer,25,30,15,15,0.8955555555555555,0.9219191919191919,0.8,0.8,0.9090909090909091,0.6666666666666666,0.7692307692307692,0.06666666666666667,0.3333333333333333,10,14,1,5
polar,train,layer,26,42,21,21,0.9229024943310657,0.9421714751823113,0.8809523809523809,0.8809523809523809,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.047619047619047616,0.19047619047619047,17,20,1,4
polar,train,layer,27,16,8,8,0.78125,0.866117216117216,0.5625,0.5625,1.0,0.125,0.2222222222222222,0.0,0.875,1,8,0,7
polar,validation,overall,all,256,128,128,0.542877197265625,0.5409974547208372,0.49609375,0.49609375,0.4666666666666667,0.0546875,0.0979020979020979,0.0625,0.9453125,7,120,8,121
polar,validation,dataset,gqa,86,43,43,0.5408328826392644,0.5598301204713443,0.5,0.5,0.5,0.023255813953488372,0.04444444444444444,0.023255813953488372,0.9767441860465116,1,42,1,42
polar,validation,dataset,chartqa,86,43,43,0.5681449432125473,0.5557715284158835,0.4883720930232558,0.4883720930232558,0.4444444444444444,0.09302325581395349,0.15384615384615385,0.11627906976744186,0.9069767441860465,4,38,5,39
polar,validation,dataset,textvqa,84,42,42,0.5317460317460317,0.5368200952068446,0.5,0.5,0.5,0.047619047619047616,0.08695652173913042,0.047619047619047616,0.9523809523809523,2,40,2,40
polar,validation,depth,early,96,48,48,0.5533854166666666,0.556157568105657,0.5,0.5,0.5,0.041666666666666664,0.07692307692307693,0.041666666666666664,0.9583333333333334,2,46,2,46
polar,validation,depth,middle,86,43,43,0.510275824770146,0.523985384917789,0.5,0.5,0.5,0.09302325581395349,0.15686274509803924,0.09302325581395349,0.9069767441860465,4,39,4,39
polar,validation,depth,late,74,37,37,0.5858290723155588,0.5990900988960116,0.4864864864864865,0.4864864864864865,0.3333333333333333,0.02702702702702703,0.05,0.05405405405405406,0.972972972972973,1,35,2,36
polar,validation,layer,0,10,5,5,0.44,0.49777777777777776,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0,5,0,5
polar,validation,layer,1,18,9,9,0.8024691358024691,0.8591269841269843,0.5555555555555556,0.5555555555555556,1.0,0.1111111111111111,0.19999999999999998,0.0,0.8888888888888888,1,9,0,8
polar,validation,layer,2,4,2,2,0.5,0.5833333333333333,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0,2,0,2
polar,validation,layer,3,6,3,3,0.6666666666666666,0.8333333333333333,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0,3,0,3
polar,validation,layer,4,8,4,4,0.75,0.8166666666666667,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0,4,0,4
polar,validation,layer,5,8,4,4,0.6875,0.7928571428571429,0.625,0.625,1.0,0.25,0.4,0.0,0.75,1,4,0,3
polar,validation,layer,6,6,3,3,0.2222222222222222,0.4666666666666667,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0,3,0,3
polar,validation,layer,7,12,6,6,0.3611111111111111,0.45357142857142857,0.4166666666666667,0.4166666666666667,0.0,0.0,0.0,0.16666666666666666,1.0,0,5,1,6
polar,validation,layer,8,10,5,5,0.44,0.4920634920634921,0.4,0.4,0.0,0.0,0.0,0.2,1.0,0,4,1,5
polar,validation,layer,9,14,7,7,0.40816326530612246,0.6416916416916418,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0,7,0,7
polar,validation,layer,10,2,1,1,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0,1,0,1
polar,validation,layer,11,4,2,2,0.5,0.5833333333333333,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0,2,0,2
polar,validation,layer,12,6,3,3,0.2222222222222222,0.4666666666666667,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0,3,0,3
polar,validation,layer,13,14,7,7,0.46938775510204084,0.5356532356532356,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0,7,0,7
polar,validation,layer,14,20,10,10,0.44,0.5385137085137084,0.55,0.55,1.0,0.1,0.18181818181818182,0.0,0.9,1,10,0,9
polar,validation,layer,15,12,6,6,0.4305555555555556,0.5640211640211641,0.5833333333333334,0.5833333333333334,1.0,0.16666666666666666,0.2857142857142857,0.0,0.8333333333333334,1,6,0,5
polar,validation,layer,16,14,7,7,0.45918367346938777,0.4987571951857666,0.42857142857142855,0.42857142857142855,0.4,0.2857142857142857,0.3333333333333333,0.42857142857142855,0.7142857142857143,2,4,3,5
polar,validation,layer,17,4,2,2,0.25,0.5,0.25,0.25,0.0,0.0,0.0,0.5,1.0,0,1,1,2
polar,validation,layer,18,10,5,5,0.98,0.9666666666666667,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0,5,0,5
polar,validation,layer,19,8,4,4,0.1875,0.44047619047619047,0.375,0.375,0.0,0.0,0.0,0.25,1.0,0,3,1,4
polar,validation,layer,20,6,3,3,0.2777777777777778,0.4444444444444445,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0,3,0,3
polar,validation,layer,21,10,5,5,0.78,0.8392857142857143,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0,5,0,5
polar,validation,layer,22,6,3,3,0.5555555555555556,0.5888888888888888,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1.0,0,2,1,3
polar,validation,layer,23,12,6,6,0.6944444444444444,0.7620370370370371,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0,6,0,6
polar,validation,layer,24,8,4,4,0.75,0.8303571428571428,0.625,0.625,1.0,0.25,0.4,0.0,0.75,1,4,0,3
polar,validation,layer,25,10,5,5,0.64,0.6977777777777777,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0,5,0,5
polar,validation,layer,26,10,5,5,0.76,0.7961904761904761,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0,5,0,5
polar,validation,layer,27,4,2,2,0.0,0.41666666666666663,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0,2,0,2
online,train,overall,all,1024,512,512,0.9945144653320312,0.9903864685608944,0.9619140625,0.9619140625,0.9292196007259528,1.0,0.9633113828786454,0.076171875,0.0,512,473,39,0
online,train,dataset,gqa,342,171,171,0.9941520467836257,0.9850674517812806,0.956140350877193,0.956140350877193,0.9193548387096774,1.0,0.9579831932773109,0.08771929824561403,0.0,171,156,15,0
online,train,dataset,chartqa,342,171,171,0.991963339147088,0.9889117713521686,0.9502923976608187,0.9502923976608186,0.9095744680851063,1.0,0.9526462395543175,0.09941520467836257,0.0,171,154,17,0
online,train,dataset,textvqa,340,170,170,0.9955017301038063,0.9942878331391962,0.9794117647058823,0.9794117647058824,0.96045197740113,1.0,0.9798270893371758,0.041176470588235294,0.0,170,163,7,0
online,train,depth,early,350,175,175,0.9917387755102041,0.98262066816445,0.9514285714285714,0.9514285714285714,0.9114583333333334,1.0,0.9536784741144414,0.09714285714285714,0.0,175,158,17,0
online,train,depth,middle,360,180,180,0.9991358024691358,0.9991178090229654,0.9611111111111111,0.9611111111111111,0.9278350515463918,1.0,0.9625668449197862,0.07777777777777778,0.0,180,166,14,0
online,train,depth,late,314,157,157,0.9943608259969978,0.9926300174915802,0.9745222929936306,0.9745222929936306,0.9515151515151515,1.0,0.9751552795031055,0.050955414012738856,0.0,157,149,8,0
online,train,layer,0,46,23,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,23,23,0,0
online,train,layer,1,42,21,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,21,21,0,0
online,train,layer,2,28,14,14,0.9336734693877551,0.8897693576265004,0.9285714285714286,0.9285714285714286,0.875,1.0,0.9333333333333333,0.14285714285714285,0.0,14,12,2,0
online,train,layer,3,26,13,13,1.0,1.0,0.9230769230769231,0.9230769230769231,0.8666666666666667,1.0,0.9285714285714286,0.15384615384615385,0.0,13,11,2,0
online,train,layer,4,38,19,19,1.0,1.0,0.8947368421052632,0.8947368421052632,0.8260869565217391,1.0,0.9047619047619047,0.21052631578947367,0.0,19,15,4,0
online,train,layer,5,16,8,8,1.0,1.0,0.9375,0.9375,0.8888888888888888,1.0,0.9411764705882353,0.125,0.0,8,7,1,0
online,train,layer,6,42,21,21,1.0,1.0,0.9523809523809523,0.9523809523809523,0.9130434782608695,1.0,0.9545454545454545,0.09523809523809523,0.0,21,19,2,0
online,train,layer,7,44,22,22,0.9834710743801653,0.9810880673700979,0.8863636363636364,0.8863636363636364,0.8148148148148148,1.0,0.8979591836734693,0.22727272727272727,0.0,22,17,5,0
online,train,layer,8,28,14,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,14,14,0,0
